message,_col1
java.lang.StringBuilder#append(long),3591443.0
"java.awt.Container#add(Component,Object)",3573575.0
java.math.BigDecimal#add(BigDecimal),3566473.0
java.sql.PreparedStatement#executeQuery(),3555015.0
java.lang.StringBuilder#StringBuilder(int),3538972.0
java.util.Map#forEach(BiConsumer),3513387.0
java.math.BigDecimal#BigDecimal(int),3509545.0
java.util.Collections#unmodifiableList(List),3487925.0
"java.util.Properties#put(Object,Object)",3470882.0
java.sql.Timestamp#Timestamp(long),3470333.0
java.util.List#equals(Object),3456691.0
java.lang.String#indexOf(int),3447691.0
java.lang.Long#toString(long),3428850.0
java.lang.Integer#Integer(int),3418458.0
java.util.concurrent.atomic.AtomicBoolean#get(),3408187.0
"java.lang.System#setProperty(String,String)",3380659.0
java.util.concurrent.Future#get(),3374467.0
java.lang.Thread#start(),3328124.0
java.util.Set#of(Object),3327588.0
"java.util.Calendar#set(int,int)",3314831.0
java.time.Duration#ofSeconds(long),3283464.0
"java.lang.System#arraycopy(Object,int,Object,int,int)",3273972.0
java.net.URI#toString(),3272421.0
java.util.concurrent.atomic.AtomicInteger#incrementAndGet(),3254003.0
java.util.Set#remove(Object),3226856.0
java.lang.Boolean#parseBoolean(String),3215314.0
java.util.Calendar#getTime(),3198950.0
java.nio.charset.Charset#name(),3183633.0
java.lang.ThreadLocal#get(),3183246.0
java.lang.Class#getCanonicalName(),3176567.0
java.util.List#remove(Object),3169731.0
java.lang.Throwable#toString(),3140106.0
java.util.stream.Stream#toList(),3138704.0
java.io.ByteArrayOutputStream#toByteArray(),3106303.0
java.util.concurrent.atomic.AtomicLong#get(),3097435.0
java.lang.NullPointerException#NullPointerException(String),3093158.0
java.util.List#of(),3061809.0
java.util.Calendar#getInstance(),3029939.0
java.util.Calendar#get(int),3029396.0
java.util.Optional#orElseThrow(),3009161.0
java.lang.System#lineSeparator(),2981530.0
java.lang.Boolean#booleanValue(),2974055.0
java.util.logging.Logger#isLoggable(Level),2943244.0
java.lang.Enum#hashCode(),2939408.0
java.util.List#hashCode(),2911976.0
"java.lang.reflect.Method#invoke(Object,Object\[\])",2898865.0
"java.lang.String#String(byte\[\],Charset)",2871065.0
java.util.Comparator#comparing(Function),2812208.0
java.util.Arrays#toString(Object\[\]),2784506.0
java.time.LocalDate#now(),2770356.0
java.util.function.Function#identity(),2764030.0
java.io.OutputStream#write(byte\[\]),2721104.0
java.lang.Integer#equals(Object),2716551.0
java.io.BufferedReader#BufferedReader(Reader),2686528.0
java.io.DataInput#readInt(),2678675.0
java.io.BufferedReader#readLine(),2672804.0
"java.util.Map#entry(Object,Object)",2613227.0
java.lang.Runnable#run(),2609235.0
java.util.ResourceBundle#getString(String),2596293.0
java.util.Iterator#remove(),2580041.0
"java.lang.String#join(CharSequence,Iterable)",2579719.0
java.util.concurrent.atomic.AtomicBoolean#set(boolean),2570899.0
java.time.LocalDateTime#now(),2566827.0
java.sql.ResultSet#getLong(String),2563226.0
java.text.DateFormat#parse(String),2555345.0
java.lang.String#toString(),2523276.0
java.lang.Integer#valueOf(String),2521964.0
java.util.regex.Matcher#find(),2517380.0
java.io.DataOutput#writeInt(int),2513892.0
java.util.HashMap#HashMap(int),2494046.0
java.util.stream.Stream#sorted(Comparator),2481939.0
java.lang.String#toCharArray(),2479976.0
java.util.concurrent.atomic.AtomicInteger#AtomicInteger(int),2472430.0
java.lang.String#String(byte\[\]),2469463.0
java.lang.reflect.Method#getName(),2465573.0
java.sql.ResultSet#getString(int),2447935.0
java.net.URI#create(String),2447902.0
java.lang.Enum#ordinal(),2443616.0
java.util.concurrent.atomic.AtomicReference#set(Object),2442918.0
java.util.concurrent.CompletableFuture#join(),2438792.0
java.io.FileInputStream#FileInputStream(File),2422843.0
java.io.File#delete(),2407110.0
java.util.concurrent.TimeUnit#toMillis(long),2382055.0
"java.util.List#of(Object,Object,Object)",2362434.0
java.lang.String#compareTo(String),2346959.0
"java.util.stream.IntStream#range(int,int)",2313402.0
java.math.BigInteger#valueOf(long),2311686.0
java.util.List#remove(int),2295447.0
java.util.HashMap#HashMap(Map),2284099.0
"java.util.function.BiConsumer#accept(Object,Object)",2274757.0
java.util.HashMap#containsKey(Object),2267978.0
java.util.Collection#contains(Object),2258375.0
java.lang.Double#parseDouble(String),2249806.0
java.lang.Thread#interrupt(),2241704.0
java.awt.Container#add(Component),2237000.0
java.time.chrono.ChronoZonedDateTime#toInstant(),2224549.0
"java.util.List#subList(int,int)",2192255.0
java.util.concurrent.ConcurrentHashMap#get(Object),2172211.0
java.lang.System#getenv(String),2168434.0
java.time.Duration#ofMillis(long),2159224.0
java.lang.Integer#toString(),2154719.0
